# train length : 91
[i] iter = 306000, loss = 0.0059, train_time = 9sec
[i] iter = 307000, loss = 0.0059, train_time = 8sec
[i] iter = 308000, loss = 0.0060, train_time = 8sec
[i] iter = 309000, loss = 0.0059, train_time = 9sec
[i] iter = 310000, loss = 0.0059, train_time = 9sec
[i] iter = 311000, loss = 0.0061, train_time = 10sec
[i] iter = 312000, loss = 0.0061, train_time = 9sec
[i] iter = 313000, loss = 0.0060, train_time = 9sec
[i] iter = 314000, loss = 0.0060, train_time = 9sec
[i] iter = 315000, loss = 0.0061, train_time = 9sec
[i] iter = 316000, loss = 0.0060, train_time = 8sec
[i] iter = 317000, loss = 0.0059, train_time = 8sec
[i] iter = 318000, loss = 0.0060, train_time = 8sec
[i] iter = 319000, loss = 0.0060, train_time = 8sec
[i] iter = 320000, loss = 0.0059, train_time = 9sec
[i] iter = 321000, loss = 0.0061, train_time = 9sec
[i] iter = 322000, loss = 0.0060, train_time = 8sec
[i] iter = 323000, loss = 0.0060, train_time = 9sec
[i] iter = 324000, loss = 0.0059, train_time = 9sec
[i] iter = 325000, loss = 0.0060, train_time = 8sec
[i] iter = 326000, loss = 0.0058, train_time = 9sec
[i] iter = 327000, loss = 0.0059, train_time = 9sec
[i] iter = 328000, loss = 0.0059, train_time = 8sec
[i] iter = 329000, loss = 0.0059, train_time = 8sec
[i] iter = 330000, loss = 0.0059, train_time = 9sec
[i] iter = 331000, loss = 0.0059, train_time = 9sec
[i] iter = 332000, loss = 0.0059, train_time = 8sec
[i] iter = 333000, loss = 0.0060, train_time = 8sec
[i] iter = 334000, loss = 0.0060, train_time = 8sec
[i] iter = 335000, loss = 0.0061, train_time = 9sec
[i] iter = 336000, loss = 0.0060, train_time = 8sec
[i] iter = 337000, loss = 0.0060, train_time = 8sec
[i] iter = 338000, loss = 0.0060, train_time = 9sec
[i] iter = 339000, loss = 0.0060, train_time = 8sec
[i] iter = 340000, loss = 0.0061, train_time = 9sec
[i] iter = 341000, loss = 0.0059, train_time = 9sec
[i] iter = 342000, loss = 0.0061, train_time = 8sec
[i] iter = 343000, loss = 0.0059, train_time = 8sec
[i] iter = 344000, loss = 0.0058, train_time = 9sec
[i] iter = 345000, loss = 0.0058, train_time = 8sec
[i] iter = 346000, loss = 0.0058, train_time = 9sec
[i] iter = 347000, loss = 0.0061, train_time = 8sec
[i] iter = 348000, loss = 0.0059, train_time = 8sec
[i] iter = 349000, loss = 0.0060, train_time = 9sec
[i] iter = 350000, loss = 0.0060, train_time = 8sec
[i] iter = 351000, loss = 0.0060, train_time = 9sec
[i] iter = 352000, loss = 0.0060, train_time = 9sec
[i] iter = 353000, loss = 0.0061, train_time = 8sec
[i] iter = 354000, loss = 0.0058, train_time = 8sec
[i] iter = 355000, loss = 0.0060, train_time = 9sec
[i] iter = 356000, loss = 0.0060, train_time = 8sec
[i] iter = 357000, loss = 0.0060, train_time = 8sec
[i] iter = 358000, loss = 0.0061, train_time = 8sec
[i] iter = 359000, loss = 0.0058, train_time = 9sec
[i] iter = 360000, loss = 0.0059, train_time = 8sec
[i] iter = 361000, loss = 0.0057, train_time = 9sec
[i] iter = 362000, loss = 0.0060, train_time = 9sec
[i] iter = 363000, loss = 0.0060, train_time = 8sec
[i] iter = 364000, loss = 0.0060, train_time = 8sec
[i] iter = 365000, loss = 0.0059, train_time = 8sec
[i] iter = 366000, loss = 0.0058, train_time = 9sec
[i] iter = 367000, loss = 0.0059, train_time = 9sec
